OBJECTID;CODIGO;TIPO_CONST;TIPO_DOMIN;NUMERO_PIS;IDENTIFICA;GRIDCODE;Area_ha;Amenaza;Grado;Escenario;Escala
413;544980102000001280016000000000;CONVENCIONAL;PRIVADO;1;A;3;0,01208150000;Alta;3;Avenida Torrencial;1:2.000
414;544980102000001280017000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00173669000;Alta;3;Avenida Torrencial;1:2.000
415;544980102000001280029000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00021961100;Alta;3;Avenida Torrencial;1:2.000
416;544980102000001280044000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00055165800;Alta;3;Avenida Torrencial;1:2.000
417;544980102000001280042000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00049105800;Alta;3;Avenida Torrencial;1:2.000
418;544980102000001280006000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00517156000;Alta;3;Avenida Torrencial;1:2.000
419;544980102000001280017000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00233473000;Alta;3;Avenida Torrencial;1:2.000
420;544980102000001280017000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00119372000;Alta;3;Avenida Torrencial;1:2.000
421;544980102000001360904901000000;CONVENCIONAL;PRIVADO;1;A;3;0,00014591700;Alta;3;Avenida Torrencial;1:2.000
422;544980103000000380903901000000;CONVENCIONAL;PRIVADO;1;A;3;0,00126853000;Alta;3;Avenida Torrencial;1:2.000
423;544980102000001750012000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00528200000;Alta;3;Avenida Torrencial;1:2.000
424;544980102000001750013000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00911487000;Alta;3;Avenida Torrencial;1:2.000
425;544980101000000180039000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00678928000;Alta;3;Avenida Torrencial;1:2.000
426;544980101000000180046000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00050922400;Alta;3;Avenida Torrencial;1:2.000
427;544980101000000180056000000000;NO CONVENCIONAL;PRIVADO;2;B;3;0,00057711700;Alta;3;Avenida Torrencial;1:2.000
428;544980101000000180050000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00050920200;Alta;3;Avenida Torrencial;1:2.000
429;544980101000000180043000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00798995000;Alta;3;Avenida Torrencial;1:2.000
430;544980101000000180066000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00038435400;Alta;3;Avenida Torrencial;1:2.000
431;544980101000000180059500000001;NO CONVENCIONAL;PRIVADO;1;B;3;0,00067897300;Alta;3;Avenida Torrencial;1:2.000
432;544980101000000180063000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00479206000;Alta;3;Avenida Torrencial;1:2.000
433;544980101000000180055000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00050919100;Alta;3;Avenida Torrencial;1:2.000
434;544980101000000180062500000001;NO CONVENCIONAL;PRIVADO;1;B;3;0,00038444500;Alta;3;Avenida Torrencial;1:2.000
435;544980101000000180045500000001;CONVENCIONAL;PRIVADO;1;A/A-B/A;3;0,01036560000;Alta;3;Avenida Torrencial;1:2.000
436;544980101000000180058000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00657586000;Alta;3;Avenida Torrencial;1:2.000
437;544980101000000180038000000000;CONVENCIONAL;PRIVADO;3;A-B/B/A;3;0,00931476000;Alta;3;Avenida Torrencial;1:2.000
438;544980101000000180068500000001;CONVENCIONAL;PRIVADO;2;A;3;0,01017660000;Alta;3;Avenida Torrencial;1:2.000
439;544980101000000180049000000000;CONVENCIONAL;PRIVADO;2;A/B;3;0,00326361000;Alta;3;Avenida Torrencial;1:2.000
440;544980101000000180046000000000;CONVENCIONAL;PRIVADO;3;A/A/A;3;0,00865647000;Alta;3;Avenida Torrencial;1:2.000
441;544980101000000180056000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00571422000;Alta;3;Avenida Torrencial;1:2.000
442;544980101000000180050000000000;CONVENCIONAL;PRIVADO;2;A-B/A;3;0,00646012000;Alta;3;Avenida Torrencial;1:2.000
443;544980101000000180065000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00660446000;Alta;3;Avenida Torrencial;1:2.000
444;544980101000000180065000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00038433900;Alta;3;Avenida Torrencial;1:2.000
445;544980101000000180043000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00054112500;Alta;3;Avenida Torrencial;1:2.000
446;544980101000000180061000000000;CONVENCIONAL;PRIVADO;1;A-B/A-B;3;0,00741562000;Alta;3;Avenida Torrencial;1:2.000
447;544980101000000180041000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00423930000;Alta;3;Avenida Torrencial;1:2.000
448;544980101000000180066000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00730344000;Alta;3;Avenida Torrencial;1:2.000
449;544980101000000180059500000001;CONVENCIONAL;PRIVADO;2;A;3;0,00562009000;Alta;3;Avenida Torrencial;1:2.000
450;544980101000000180067000000000;CONVENCIONAL;PRIVADO;2;A/B;3;0,00766661000;Alta;3;Avenida Torrencial;1:2.000
451;544980101000000180047000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00602934000;Alta;3;Avenida Torrencial;1:2.000
